Record	GBK	Record_Type	Record_Number	CC	Family
cpsnj02_SemiBin_18.fa_contig_6985_polypolish.region003.gbk_region_3	cpsnj02_SemiBin_18.fa_contig_6985_polypolish.region003	region	3	5	FAM_00001
snj20_SemiBin_27.fa_contig_27097_polypolish.region002.gbk_region_2	snj20_SemiBin_27.fa_contig_27097_polypolish.region002	region	2	5	FAM_00001
snj15_SemiBin_80.fa_contig_81334_polypolish.region001.gbk_region_1	snj15_SemiBin_80.fa_contig_81334_polypolish.region001	region	1	5	FAM_00001
sample7_SemiBin_122.fa_contig_6681_polypolish.region001.gbk_region_1	sample7_SemiBin_122.fa_contig_6681_polypolish.region001	region	1	5	FAM_00001
snj09_SemiBin_99.fa_contig_12697_polypolish.region004.gbk_region_4	snj09_SemiBin_99.fa_contig_12697_polypolish.region004	region	4	5	FAM_00001
cpsnj03_SemiBin_67.fa_contig_26439_polypolish.region001.gbk_region_1	cpsnj03_SemiBin_67.fa_contig_26439_polypolish.region001	region	1	5	FAM_00001
cpsnj13_SemiBin_54.fa_contig_7165_polypolish.region002.gbk_region_2	cpsnj13_SemiBin_54.fa_contig_7165_polypolish.region002	region	2	5	FAM_00001
snj19_SemiBin_155.fa_contig_1880_polypolish.region001.gbk_region_1	snj19_SemiBin_155.fa_contig_1880_polypolish.region001	region	1	5	FAM_00001
snj04_SemiBin_21.fa_contig_3405_polypolish.region001.gbk_region_1	snj04_SemiBin_21.fa_contig_3405_polypolish.region001	region	1	5	FAM_00001
snj03_SemiBin_33.fa_contig_13666_polypolish.region001.gbk_region_1	snj03_SemiBin_33.fa_contig_13666_polypolish.region001	region	1	5	FAM_00001
cpsnj04_SemiBin_10.fa_contig_4546_polypolish.region001.gbk_region_1	cpsnj04_SemiBin_10.fa_contig_4546_polypolish.region001	region	1	5	FAM_00001
cpsnj09_SemiBin_56.fa_contig_6602_polypolish.region006.gbk_region_6	cpsnj09_SemiBin_56.fa_contig_6602_polypolish.region006	region	6	5	FAM_00001
cpsnj20_SemiBin_30.fa_contig_2994_polypolish.region001.gbk_region_1	cpsnj20_SemiBin_30.fa_contig_2994_polypolish.region001	region	1	5	FAM_00001
cpsnj11_SemiBin_83.fa_contig_16755_polypolish.region001.gbk_region_1	cpsnj11_SemiBin_83.fa_contig_16755_polypolish.region001	region	1	5	FAM_00001
snj08_SemiBin_90.fa_contig_19212_polypolish.region001.gbk_region_1	snj08_SemiBin_90.fa_contig_19212_polypolish.region001	region	1	5	FAM_00001
sample18_SemiBin_264.fa_contig_90597_polypolish.region001.gbk_region_1	sample18_SemiBin_264.fa_contig_90597_polypolish.region001	region	1	5	FAM_00001
snj14_SemiBin_95.fa_contig_68451_polypolish.region001.gbk_region_1	snj14_SemiBin_95.fa_contig_68451_polypolish.region001	region	1	5	FAM_00001
snj10_SemiBin_19.fa_contig_67037_polypolish.region001.gbk_region_1	snj10_SemiBin_19.fa_contig_67037_polypolish.region001	region	1	5	FAM_00001
snj11_SemiBin_24.fa_contig_254_polypolish.region001.gbk_region_1	snj11_SemiBin_24.fa_contig_254_polypolish.region001	region	1	5	FAM_00001
cpsnj08_SemiBin_59.fa_contig_48135_polypolish.region001.gbk_region_1	cpsnj08_SemiBin_59.fa_contig_48135_polypolish.region001	region	1	5	FAM_00001
cpsnj10_SemiBin_56.fa_contig_63352_polypolish.region001.gbk_region_1	cpsnj10_SemiBin_56.fa_contig_63352_polypolish.region001	region	1	21	FAM_00002
cpsnj13_SemiBin_169.fa_contig_17988_polypolish.region001.gbk_region_1	cpsnj13_SemiBin_169.fa_contig_17988_polypolish.region001	region	1	21	FAM_00002
sample18_SemiBin_671.fa_contig_18991_polypolish.region001.gbk_region_1	sample18_SemiBin_671.fa_contig_18991_polypolish.region001	region	1	21	FAM_00002
snj08_SemiBin_199.fa_contig_27660_polypolish.region001.gbk_region_1	snj08_SemiBin_199.fa_contig_27660_polypolish.region001	region	1	21	FAM_00002
sample20_SemiBin_22.fa_contig_24816_polypolish.region001.gbk_region_1	sample20_SemiBin_22.fa_contig_24816_polypolish.region001	region	1	21	FAM_00002
cpsnj13_SemiBin_231.fa_contig_10876_polypolish.region001.gbk_region_1	cpsnj13_SemiBin_231.fa_contig_10876_polypolish.region001	region	1	21	FAM_00002
snj01_SemiBin_36.fa_contig_5465_polypolish.region001.gbk_region_1	snj01_SemiBin_36.fa_contig_5465_polypolish.region001	region	1	21	FAM_00002
snj14_SemiBin_153.fa_contig_1086_polypolish.region001.gbk_region_1	snj14_SemiBin_153.fa_contig_1086_polypolish.region001	region	1	21	FAM_00002
sample20_SemiBin_4.fa_contig_9358_polypolish.region001.gbk_region_1	sample20_SemiBin_4.fa_contig_9358_polypolish.region001	region	1	21	FAM_00002
snj20_SemiBin_212.fa_contig_21536_polypolish.region001.gbk_region_1	snj20_SemiBin_212.fa_contig_21536_polypolish.region001	region	1	21	FAM_00002
sample17_SemiBin_248.fa_contig_15964.region001.gbk_region_1	sample17_SemiBin_248.fa_contig_15964.region001	region	1	21	FAM_00002
cpsnj20_SemiBin_109.fa_contig_193_polypolish.region001.gbk_region_1	cpsnj20_SemiBin_109.fa_contig_193_polypolish.region001	region	1	21	FAM_00002
sample21_SemiBin_56.fa_contig_17213_polypolish.region001.gbk_region_1	sample21_SemiBin_56.fa_contig_17213_polypolish.region001	region	1	21	FAM_00002
sample20_SemiBin_203.fa_contig_37252_polypolish.region001.gbk_region_1	sample20_SemiBin_203.fa_contig_37252_polypolish.region001	region	1	21	FAM_00002
sample3_SemiBin_95.fa_contig_5867_polypolish.region001.gbk_region_1	sample3_SemiBin_95.fa_contig_5867_polypolish.region001	region	1	21	FAM_00002
sample29_SemiBin_112.fa_contig_3747_polypolish.region001.gbk_region_1	sample29_SemiBin_112.fa_contig_3747_polypolish.region001	region	1	21	FAM_00002
sample2_SemiBin_7.fa_contig_6122_polypolish.region001.gbk_region_1	sample2_SemiBin_7.fa_contig_6122_polypolish.region001	region	1	21	FAM_00002
sample8_SemiBin_292.fa_contig_64552_polypolish.region001.gbk_region_1	sample8_SemiBin_292.fa_contig_64552_polypolish.region001	region	1	21	FAM_00003
snj19_SemiBin_105.fa_contig_16683_polypolish.region001.gbk_region_1	snj19_SemiBin_105.fa_contig_16683_polypolish.region001	region	1	21	FAM_00003
cpsnj19_SemiBin_123.fa_contig_56383_polypolish.region001.gbk_region_1	cpsnj19_SemiBin_123.fa_contig_56383_polypolish.region001	region	1	21	FAM_00003
cpsnj19_SemiBin_179.fa_contig_22659_polypolish.region001.gbk_region_1	cpsnj19_SemiBin_179.fa_contig_22659_polypolish.region001	region	1	21	FAM_00003
snj03_SemiBin_44.fa_contig_5515_polypolish.region001.gbk_region_1	snj03_SemiBin_44.fa_contig_5515_polypolish.region001	region	1	21	FAM_00003
sample3_SemiBin_239.fa_contig_40251_polypolish.region001.gbk_region_1	sample3_SemiBin_239.fa_contig_40251_polypolish.region001	region	1	21	FAM_00003
sample4_SemiBin_238.fa_contig_87611_polypolish.region001.gbk_region_1	sample4_SemiBin_238.fa_contig_87611_polypolish.region001	region	1	21	FAM_00003
snj03_SemiBin_189.fa_contig_12228_polypolish.region002.gbk_region_2	snj03_SemiBin_189.fa_contig_12228_polypolish.region002	region	2	21	FAM_00003
snj16_SemiBin_101.fa_contig_346_polypolish.region001.gbk_region_1	snj16_SemiBin_101.fa_contig_346_polypolish.region001	region	1	21	FAM_00003
sample29_SemiBin_37.fa_contig_5203_polypolish.region001.gbk_region_1	sample29_SemiBin_37.fa_contig_5203_polypolish.region001	region	1	21	FAM_00003
sample30_SemiBin_33.fa_contig_69684_polypolish.region001.gbk_region_1	sample30_SemiBin_33.fa_contig_69684_polypolish.region001	region	1	21	FAM_00003
snj01_SemiBin_150.fa_contig_39_polypolish.region001.gbk_region_1	snj01_SemiBin_150.fa_contig_39_polypolish.region001	region	1	21	FAM_00003
cpsnj03_SemiBin_49.fa_contig_7603_polypolish.region001.gbk_region_1	cpsnj03_SemiBin_49.fa_contig_7603_polypolish.region001	region	1	21	FAM_00003
snj11_SemiBin_18.fa_contig_19169_polypolish.region001.gbk_region_1	snj11_SemiBin_18.fa_contig_19169_polypolish.region001	region	1	21	FAM_00003
snj15_SemiBin_289.fa_contig_7015_polypolish.region001.gbk_region_1	snj15_SemiBin_289.fa_contig_7015_polypolish.region001	region	1	21	FAM_00003
cpsnj19_SemiBin_103.fa_contig_13640_polypolish.region002.gbk_region_2	cpsnj19_SemiBin_103.fa_contig_13640_polypolish.region002	region	2	21	FAM_00003
cpsnj10_SemiBin_209.fa_contig_10000_polypolish.region001.gbk_region_1	cpsnj10_SemiBin_209.fa_contig_10000_polypolish.region001	region	1	21	FAM_00003
cpsnj13_SemiBin_46.fa_contig_1392_polypolish.region001.gbk_region_1	cpsnj13_SemiBin_46.fa_contig_1392_polypolish.region001	region	1	21	FAM_00004
sample18_SemiBin_135.fa_contig_582_polypolish.region001.gbk_region_1	sample18_SemiBin_135.fa_contig_582_polypolish.region001	region	1	21	FAM_00004
sample26_SemiBin_37.fa_contig_3170_polypolish.region001.gbk_region_1	sample26_SemiBin_37.fa_contig_3170_polypolish.region001	region	1	21	FAM_00004
snj14_SemiBin_153.fa_contig_6245_polypolish.region001.gbk_region_1	snj14_SemiBin_153.fa_contig_6245_polypolish.region001	region	1	21	FAM_00004
sample19_SemiBin_154.fa_contig_25211_polypolish.region001.gbk_region_1	sample19_SemiBin_154.fa_contig_25211_polypolish.region001	region	1	21	FAM_00004
cpsnj14_SemiBin_185.fa_contig_8802_polypolish.region001.gbk_region_1	cpsnj14_SemiBin_185.fa_contig_8802_polypolish.region001	region	1	21	FAM_00004
snj08_SemiBin_665.fa_contig_51790_polypolish.region001.gbk_region_1	snj08_SemiBin_665.fa_contig_51790_polypolish.region001	region	1	21	FAM_00004
sample30_SemiBin_33.fa_contig_1682_polypolish.region001.gbk_region_1	sample30_SemiBin_33.fa_contig_1682_polypolish.region001	region	1	21	FAM_00004
sample22_SemiBin_64.fa_contig_7987_polypolish.region001.gbk_region_1	sample22_SemiBin_64.fa_contig_7987_polypolish.region001	region	1	21	FAM_00005
sample27_SemiBin_430.fa_contig_16142_polypolish.region001.gbk_region_1	sample27_SemiBin_430.fa_contig_16142_polypolish.region001	region	1	21	FAM_00005
sample2_SemiBin_7.fa_contig_24840_polypolish.region001.gbk_region_1	sample2_SemiBin_7.fa_contig_24840_polypolish.region001	region	1	21	FAM_00005
sample24_SemiBin_12.fa_contig_3981_polypolish.region001.gbk_region_1	sample24_SemiBin_12.fa_contig_3981_polypolish.region001	region	1	21	FAM_00005
snj20_SemiBin_104.fa_contig_11670_polypolish.region001.gbk_region_1	snj20_SemiBin_104.fa_contig_11670_polypolish.region001	region	1	21	FAM_00006
sample9_SemiBin_28.fa_contig_20274_polypolish.region001.gbk_region_1	sample9_SemiBin_28.fa_contig_20274_polypolish.region001	region	1	21	FAM_00006
snj20_SemiBin_963.fa_contig_55734_polypolish.region001.gbk_region_1	snj20_SemiBin_963.fa_contig_55734_polypolish.region001	region	1	21	FAM_00006
snj11_SemiBin_6.fa_contig_4218_polypolish.region002.gbk_region_2	snj11_SemiBin_6.fa_contig_4218_polypolish.region002	region	2	21	FAM_00006
snj09_SemiBin_100.fa_contig_47319_polypolish.region001.gbk_region_1	snj09_SemiBin_100.fa_contig_47319_polypolish.region001	region	1	21	FAM_00006
cpsnj11_SemiBin_15.fa_contig_42445_polypolish.region001.gbk_region_1	cpsnj11_SemiBin_15.fa_contig_42445_polypolish.region001	region	1	21	FAM_00006
sample29_SemiBin_131.fa_contig_29175_polypolish.region001.gbk_region_1	sample29_SemiBin_131.fa_contig_29175_polypolish.region001	region	1	21	FAM_00007
sample23_SemiBin_72.fa_contig_53147_polypolish.region001.gbk_region_1	sample23_SemiBin_72.fa_contig_53147_polypolish.region001	region	1	21	FAM_00007
sample15_SemiBin_206.fa_contig_6807.region001.gbk_region_1	sample15_SemiBin_206.fa_contig_6807.region001	region	1	21	FAM_00007
sample29_SemiBin_133.fa_contig_2926_polypolish.region001.gbk_region_1	sample29_SemiBin_133.fa_contig_2926_polypolish.region001	region	1	21	FAM_00007
sample24_SemiBin_41.fa_contig_3428_polypolish.region001.gbk_region_1	sample24_SemiBin_41.fa_contig_3428_polypolish.region001	region	1	21	FAM_00007
sample5_SemiBin_57.fa_contig_34413_polypolish.region001.gbk_region_1	sample5_SemiBin_57.fa_contig_34413_polypolish.region001	region	1	21	FAM_00008
sample1_SemiBin_13.fa_contig_12274_polypolish.region001.gbk_region_1	sample1_SemiBin_13.fa_contig_12274_polypolish.region001	region	1	21	FAM_00008
sample29_SemiBin_36.fa_contig_28888_polypolish.region001.gbk_region_1	sample29_SemiBin_36.fa_contig_28888_polypolish.region001	region	1	21	FAM_00008
sample7_SemiBin_37.fa_contig_386_polypolish.region001.gbk_region_1	sample7_SemiBin_37.fa_contig_386_polypolish.region001	region	1	21	FAM_00008
sample2_SemiBin_41.fa_contig_3832_polypolish.region001.gbk_region_1	sample2_SemiBin_41.fa_contig_3832_polypolish.region001	region	1	21	FAM_00008
sample20_SemiBin_5.fa_contig_3929_polypolish.region001.gbk_region_1	sample20_SemiBin_5.fa_contig_3929_polypolish.region001	region	1	21	FAM_00008
snj15_SemiBin_10.fa_contig_472_polypolish.region001.gbk_region_1	snj15_SemiBin_10.fa_contig_472_polypolish.region001	region	1	21	FAM_00009
cpsnj08_SemiBin_110.fa_contig_75234_polypolish.region001.gbk_region_1	cpsnj08_SemiBin_110.fa_contig_75234_polypolish.region001	region	1	21	FAM_00009
sample16_SemiBin_199.fa_contig_37344_polypolish.region001.gbk_region_1	sample16_SemiBin_199.fa_contig_37344_polypolish.region001	region	1	21	FAM_00009
snj13_SemiBin_44.fa_contig_5618_polypolish.region001.gbk_region_1	snj13_SemiBin_44.fa_contig_5618_polypolish.region001	region	1	21	FAM_00009
snj08_SemiBin_22.fa_contig_7565_polypolish.region001.gbk_region_1	snj08_SemiBin_22.fa_contig_7565_polypolish.region001	region	1	21	FAM_00009
sample27_SemiBin_245.fa_contig_11915_polypolish.region001.gbk_region_1	sample27_SemiBin_245.fa_contig_11915_polypolish.region001	region	1	21	FAM_00009
cpsnj19_SemiBin_169.fa_contig_4382_polypolish.region001.gbk_region_1	cpsnj19_SemiBin_169.fa_contig_4382_polypolish.region001	region	1	21	FAM_00009
snj19_SemiBin_49.fa_contig_22487_polypolish.region001.gbk_region_1	snj19_SemiBin_49.fa_contig_22487_polypolish.region001	region	1	21	FAM_00009
cpsnj13_SemiBin_59.fa_contig_30471_polypolish.region001.gbk_region_1	cpsnj13_SemiBin_59.fa_contig_30471_polypolish.region001	region	1	21	FAM_00009
cpsnj01_SemiBin_14.fa_contig_4901_polypolish.region001.gbk_region_1	cpsnj01_SemiBin_14.fa_contig_4901_polypolish.region001	region	1	21	FAM_00009
sample28_SemiBin_76.fa_contig_4664_polypolish.region001.gbk_region_1	sample28_SemiBin_76.fa_contig_4664_polypolish.region001	region	1	21	FAM_00009
cpsnj11_SemiBin_10.fa_contig_18808_polypolish.region001.gbk_region_1	cpsnj11_SemiBin_10.fa_contig_18808_polypolish.region001	region	1	21	FAM_00009
cpsnj14_SemiBin_34.fa_contig_3515_polypolish.region001.gbk_region_1	cpsnj14_SemiBin_34.fa_contig_3515_polypolish.region001	region	1	21	FAM_00009
sample15_SemiBin_135.fa_contig_35343_polypolish.region001.gbk_region_1	sample15_SemiBin_135.fa_contig_35343_polypolish.region001	region	1	21	FAM_00009
cpsnj16_SemiBin_52.fa_contig_1897_polypolish.region002.gbk_region_2	cpsnj16_SemiBin_52.fa_contig_1897_polypolish.region002	region	2	21	FAM_00009
