cpsnj15_contig_69220	21763	0	cpsnj15
sample24_contig_100860	51165	2	sample24
snj16_contig_37626	109825	5	snj16
sample18_contig_7034	215209	0	sample18
sample19_contig_65143	134477	6	sample19
sample10_contig_24347	20039	1	sample10
sample7_contig_63502	43991	1	sample7
sample4_contig_14809	21072	1	sample4
sample28_contig_18448	233088	3	sample28
cpsnj03_contig_13421	17596	1	cpsnj03
sample16_contig_40236	34957	2	sample16
snj03_contig_44445	50945	0	snj03
snj15_contig_35535	16295	0	snj15
sample11_contig_56716	12156	0	sample11
sample23_contig_32065	13911	1	sample23
sample5_contig_40166	16020	0	sample5
sample27_contig_3336	43949	0	sample27
sample22_contig_29970	76715	1	sample22
sample11_contig_21252	49587	3	sample11
sample8_contig_50961	8915	0	sample8
sample20_contig_42731	48500	3	sample20
snj16_contig_4444	28228	0	snj16
cpsnj08_contig_37479	10628	0	cpsnj08
sample12_contig_18673	35032	0	sample12
cpsnj04_contig_50927	13767	0	cpsnj04
sample4_contig_9227	10179	0	sample4
sample3_contig_10847	37972	0	sample3
sample21_contig_78057	20451	3	sample21
sample14_contig_68335	53005	5	sample14
sample26_contig_22123	39257	1	sample26
snj03_contig_27871	56708	1	snj03
sample9_contig_28261	98386	1	sample9
sample10_contig_6786	60336	0	sample10
sample18_contig_43129	20603	0	sample18
sample9_contig_337	14272	0	sample9
cpsnj10_contig_22540	17920	0	cpsnj10
snj20_contig_56766	28953	0	snj20
sample2_contig_77382	7493	0	sample2
sample25_contig_30903	15650	0	sample25
sample1_contig_22038	9686	2	sample1
cpsnj08_contig_35126	23433	1	cpsnj08
cpsnj03_contig_32429	27249	0	cpsnj03
sample20_contig_25381	27100	0	sample20
cpsnj02_contig_71297	44232	0	cpsnj02
sample26_contig_56019	18947	1	sample26
sample14_contig_33874	16017	0	sample14
sample16_contig_13420	15259	0	sample16
snj03_contig_62853	45345	3	snj03
cpsnj02_contig_61787	41945	1	cpsnj02
cpsnj08_contig_6455	92667	4	cpsnj08
cpsnj03_contig_12046	239990	2	cpsnj03
sample27_contig_35639	82684	4	sample27
sample6_contig_48132	20999	0	sample6
snj08_contig_21401	67848	3	snj08
cpsnj01_contig_9201	175643	5	cpsnj01
cpsnj03_contig_58101	22716	2	cpsnj03
sample8_contig_99617	57611	1	sample8
sample18_contig_90495	45376	1	sample18
cpsnj03_contig_8661	107738	2	cpsnj03
sample6_contig_55086	50652	1	sample6
sample17_contig_49324	99189	0	sample17
sample23_contig_31975	116498	8	sample23
snj20_contig_46473	15806	1	snj20
sample7_contig_98781	6981	0	sample7
sample1_contig_77101	20853	0	sample1
cpsnj08_contig_10959	10415	1	cpsnj08
sample20_contig_23178	373931	23	sample20
sample16_contig_46061	15272	0	sample16
snj13_contig_76566	53458	1	snj13
sample26_contig_73939	10281	1	sample26
sample14_contig_60745	39535	0	sample14
cpsnj01_contig_13164	55258	0	cpsnj01
sample21_contig_7123	25785	1	sample21
cpsnj14_contig_36132	36544	1	cpsnj14
sample24_contig_37626	19880	2	sample24
sample2_contig_70031	12116	0	sample2
snj16_contig_38605	19728	0	snj16
snj10_contig_14903	16317	1	snj10
sample5_contig_29991	42239	0	sample5
sample10_contig_47220	8233	0	sample10
sample7_contig_13961	24582	0	sample7
snj08_contig_61436	15174	0	snj08
sample12_contig_73210	18796	0	sample12
sample4_contig_142017	54619	0	sample4
sample6_contig_53974	104556	1	sample6
sample13_contig_50463	8934	0	sample13
sample7_contig_57058	12842	0	sample7
sample11_contig_57825	14217	0	sample11
snj14_contig_44071	52288	2	snj14
sample26_contig_102516	26536	1	sample26
snj15_contig_1938	30685	0	snj15
snj13_contig_54474	10705	0	snj13
sample9_contig_67097	33434	2	sample9
snj04_contig_71670	15704	0	snj04
cpsnj03_contig_48928	59297	1	cpsnj03
sample28_contig_18966	14835	0	sample28
sample10_contig_8116	11135	0	sample10
sample28_contig_36208	7901	0	sample28
snj01_contig_67418	46828	4	snj01
sample25_contig_12139	70070	0	sample25
snj03_contig_11074	33401	5	snj03
sample24_contig_29307	22089	1	sample24
sample3_contig_22110	13988	0	sample3
sample23_contig_1894	59704	2	sample23
cpsnj01_contig_58073	40113	5	cpsnj01
cpsnj08_contig_90393	32973	1	cpsnj08
cpsnj04_contig_1327	22675	0	cpsnj04
snj19_contig_52912	81793	3	snj19
sample27_contig_33596	9582	0	sample27
cpsnj20_contig_8848	35487	1	cpsnj20
sample17_contig_49922	22358	0	sample17
sample2_contig_68737	11997	0	sample2
cpsnj02_contig_11633	26116	1	cpsnj02
snj02_contig_50328	11910	0	snj02
sample13_contig_19125	22363	0	sample13
snj09_contig_21827	35433	1	snj09
snj02_contig_64773	19984	1	snj02
cpsnj10_contig_36731	33670	0	cpsnj10
sample2_contig_46953	17376	0	sample2
sample21_contig_64568	44720	2	sample21
sample7_contig_101174	33796	0	sample7
sample5_contig_53745	13285	0	sample5
cpsnj01_contig_39152	89096	1	cpsnj01
sample29_contig_48914	16933	0	sample29
snj13_contig_78184	33403	0	snj13
