BGC_region,Class,Category,Start,End,Length,MAG,Taxonomy,CC,Family
CSMAG_5930_contig_6398_polypolish.region001,RRE-containing,RiPP,16888,31236,14349,CSMAG_5930,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Ferrovibrionales;f__Ferrovibrionaceae;g__Desertibaculum;s__,1,FAM_03770
CSMAG_1429_contig_6985_polypolish.region003,arylpolyene,other,1400180,1441370,41191,CSMAG_1429,d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__DASXSB01;s__,5,FAM_00001
CSMAG_5900_contig_3158_polypolish.region001,terpene,terpene,52049,73981,21933,CSMAG_5900,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__RBC074;f__RBC074;g__JAHBSF01;s__,9,FAM_03771
CSMAG_7639_contig_47116_polypolish.region001,RiPP-like,RiPP,16581,27843,11263,CSMAG_7639,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira_C;s__Nitrospira_C sp029240595,13,FAM_03772
CSMAG_6038_contig_139761_polypolish.region002,arylpolyene,other,82008,125596,43589,CSMAG_6038,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__UXAT02;g__Defluviicoccus;s__,17,FAM_03773
CSMAG_2691_contig_63352_polypolish.region001,NRPS-like.RRE-containing,NRPS.RiPP,40079,92751,52673,CSMAG_2691,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__JACCXG01;s__,21,FAM_00002
CSMAG_7827_contig_34894_polypolish.region001,arylpolyene,other,1,27136,27136,CSMAG_7827,d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__SMWR01;g__;s__,33,FAM_03774
CSMAG_3935_contig_3504_polypolish.region001,terpene,terpene,73903,95551,21649,CSMAG_3935,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__DAINBQ01;s__,37,FAM_00021
CSMAG_7629_contig_21797_polypolish.region001,PKS-like.hserlactone,PKS.other,116076,157377,41302,CSMAG_7629,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__JACCXG01;s__,41,FAM_03775
CSMAG_2988_contig_26632_polypolish.region001,phenazine,other,279067,299486,20420,CSMAG_2988,d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__AR5;s__,50,FAM_03776
CSMAG_5045_contig_50943_polypolish.region002,NRPS-like.betalactone,NRPS.other,52024,93937,41914,CSMAG_5045,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Casimicrobiaceae;g__CAIWHR01;s__,54,FAM_00057
CSMAG_1407_contig_19149_polypolish.region001,T3PKS,PKS,32447,73472,41026,CSMAG_1407,d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__CAMLFJ01;s__,58,FAM_00058
CSMAG_0295_contig_3236_polypolish.region001,ladderane,other,218714,260774,42061,CSMAG_0295,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__JAICNG01;s__,62,FAM_03777
CSMAG_1536_contig_85100_polypolish.region002,RRE-containing.lanthipeptide-class-ii.lassopeptide,RiPP,57318,92229,34912,CSMAG_1536,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__,66,FAM_00059
CSMAG_0152_contig_7294_polypolish.region003,terpene,terpene,652000,673792,21793,CSMAG_0152,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__JACCXV01;f__JAHWKZ01;g__JAICNR01;s__,78,FAM_00060
CSMAG_1900_contig_60841_polypolish.region001,RRE-containing,RiPP,14959,35561,20603,CSMAG_1900,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__TA-21;s__TA-21 sp036277875,82,FAM_00063
CSMAG_7181_contig_46749_polypolish.region001,terpene,terpene,1,21693,21693,CSMAG_7181,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__V1-33;g__V1-33;s__,86,FAM_03778
CSMAG_7291_contig_19148_polypolish.region001,arylpolyene,other,1,37424,37424,CSMAG_7291,d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__DASSBQ01;s__,90,FAM_03779
CSMAG_0130_contig_10788_polypolish.region002,NRPS-like,NRPS,1351433,1393973,42541,CSMAG_0130,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__JACCXG01;s__,94,FAM_00064
CSMAG_7280_contig_75220_polypolish.region002,terpene,terpene,68965,89672,20708,CSMAG_7280,d__Bacteria;p__Acidobacteriota;c__Polarisedimenticolia;o__Polarisedimenticolales;f__DASRJG01;g__DASRJG01;s__,98,FAM_03780
CSMAG_5748_contig_29509_polypolish.region001,RRE-containing.lassopeptide,RiPP,60821,86078,25258,CSMAG_5748,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__DATLLJ01;s__,102,FAM_03781
CSMAG_2776_contig_74389_polypolish.region001,ladderane,other,206587,247765,41179,CSMAG_2776,d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__;s__,114,FAM_03782
CSMAG_6282_contig_116533_polypolish.region001,hglE-KS,PKS,23789,69599,45811,CSMAG_6282,d__Bacteria;p__Acidobacteriota;c__Polarisedimenticolia;o__JACPZX01;f__JACPZX01;g__;s__,118,FAM_00065
CSMAG_4100_contig_8079_polypolish.region002,ranthipeptide,RiPP,150288,171736,21449,CSMAG_4100,d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__2-12-FULL-66-21;g__DATBJJ01;s__,122,FAM_00066
CSMAG_6371_contig_31341_polypolish.region001,arylpolyene,other,50203,71057,20855,CSMAG_6371,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__,126,FAM_03783
CSMAG_0880_contig_25772_polypolish.region001,terpene,terpene,85303,106172,20870,CSMAG_0880,d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Ilumatobacter;s__,130,FAM_00074
