snj09_SemiBin_106.k141_1001739.region232.1	terpene	terpene	844	14383	13540	snj09_SemiBin_106	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__12-FULL-67-14b;s__	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__12-FULL-67-14b	s__
cpsnj01_SemiBin_4.k141_1003807.region903.1	T3PKS	PKS	1	6660	6660	cpsnj01_SemiBin_4	d__Bacteria;p__Myxococcota;c__Polyangia;o__Fen-1088;f__Fen-1088;g__JANNNO01;s__	d__Bacteria	p__Myxococcota	c__Polyangia	o__Fen-1088	f__Fen-1088	g__JANNNO01	s__
sample5_SemiBin_88.k141_1004637.region159.1	terpene	terpene	1	12134	12134	sample5_SemiBin_88	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__CAMLFJ01;s__	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__CSP1-6	g__CAMLFJ01	s__
snj10_SemiBin_17.k141_1005679.region269.1	NRPS-like	NRPS	1	9522	9522	snj10_SemiBin_17	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__UBA2999;g__;s__	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__	s__
cpsnj20_SemiBin_34.k141_1006872.region383.1	terpene	terpene	1	8048	8048	cpsnj20_SemiBin_34	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiia	o__Chthoniobacterales	f__UBA10450	g__Udaeobacter	s__
cpsnj16_SemiBin_17.k141_1007356.region12.1	acyl_amino_acids	other	1	11734	11734	cpsnj16_SemiBin_17	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__DATEDA01;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Burkholderiales	f__SG8-39	g__DATEDA01	s__
cpsnj09_SemiBin_32.k141_1007920.region325.1	T1PKS	PKS	1	4583	4583	cpsnj09_SemiBin_32	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__AR5;s__	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__CSP1-6	g__AR5	s__
cpsnj20_SemiBin_4.k141_1008700.region468.1	lassopeptide.RRE-containing	RiPP	1	15325	15325	cpsnj20_SemiBin_4	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Pseudolabrys	s__
sample13_SemiBin_99.k141_1009577.region235.1	terpene	terpene	1	14829	14829	sample13_SemiBin_99	d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__CAMLFJ01;s__	d__Bacteria	p__Methylomirabilota	c__Methylomirabilia	o__Rokubacteriales	f__CSP1-6	g__CAMLFJ01	s__
snj10_SemiBin_41.k141_1010099.region263.1	redox-cofactor	RiPP	1	6341	6341	snj10_SemiBin_41	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Rhizobiales	f__Xanthobacteraceae	g__Pseudolabrys	s__
