#seq_name,length,cov.,circ.,repeat,mult.,alt_group,graph_path,MAG
cpsnj01_contig_32185,124944,11,Y,N,2,*,32185,
cpsnj01_contig_78089,93967,6,Y,N,1,*,78089,
cpsnj01_contig_79915,90172,9,Y,N,1,*,79915,
cpsnj01_contig_78839,83127,16,Y,N,3,*,78839,
cpsnj01_contig_79604,75605,7,Y,N,1,*,79604,
cpsnj01_contig_79370,68910,17,Y,N,3,*,79370,
cpsnj01_contig_24978,68151,14,Y,N,2,*,24978,
cpsnj01_contig_79903,63612,4,Y,N,1,*,79903,
cpsnj01_contig_65986,62349,28,Y,N,5,*,65986,
cpsnj01_contig_80043,60347,9,Y,N,2,*,80043,
cpsnj01_contig_78461,59540,9,Y,N,1,*,78461,
cpsnj01_contig_80141,56383,18,Y,N,3,*,80141,
cpsnj01_contig_80097,55571,6,Y,N,1,*,80097,
cpsnj01_contig_78398,52972,7,Y,N,1,*,78398,
cpsnj01_contig_78104,48342,4,Y,N,1,*,78104,
cpsnj01_contig_66401,48023,5,Y,Y,1,*,66401,
cpsnj01_contig_78250,47875,5,Y,N,1,*,78250,
cpsnj01_contig_58747,46271,5,Y,Y,1,*,58747,
cpsnj01_contig_78740,46118,6,Y,N,1,*,78740,
cpsnj01_contig_80030,45912,14,Y,N,2,*,80030,
cpsnj01_contig_78560,44994,18,Y,N,3,*,78560,
cpsnj01_contig_80041,43962,4,Y,N,1,*,80041,
cpsnj01_contig_76269,41553,7,Y,N,1,*,76269,
cpsnj01_contig_80133,41401,8,Y,N,2,*,80133,
cpsnj01_contig_77498,40354,4,Y,N,1,*,77498,
cpsnj01_contig_80023,38649,6,Y,N,1,*,80023,
cpsnj01_contig_25622,37027,4,Y,Y,1,120,25622,
cpsnj01_contig_78628,34962,7,Y,N,1,*,78628,
cpsnj01_contig_76922,33680,8,Y,N,1,*,76922,
cpsnj01_contig_78490,33224,3,Y,N,1,*,78490,
cpsnj01_contig_76778,31112,7,Y,N,1,*,76778,
cpsnj01_contig_79720,23508,5,Y,N,1,*,79720,
cpsnj01_contig_80154,23420,7,Y,N,1,*,80154,
cpsnj01_contig_37959,23341,4,Y,Y,1,144,37959,
cpsnj01_contig_77816,21393,4,Y,N,1,*,77816,
cpsnj01_contig_78693,18398,8,Y,N,1,*,78693,
cpsnj01_contig_80027,17737,6,Y,N,1,*,80027,
cpsnj01_contig_78741,17349,5,Y,Y,1,*,78741,
cpsnj01_contig_43547,17171,4,Y,Y,1,156,43547,
cpsnj01_contig_17188,15924,8,Y,Y,1,90,17188,
cpsnj01_contig_79352,14543,4,Y,N,1,*,79352,
cpsnj01_contig_11733,14063,13,Y,N,1,*,11733,
cpsnj01_contig_11732,13117,18,Y,N,3,*,11732,
cpsnj01_contig_80169,13053,10,Y,N,2,*,80169,
cpsnj01_contig_16982,11142,3,Y,Y,1,84,16982,
cpsnj01_contig_14874,10567,6,Y,Y,1,68,14874,
cpsnj01_contig_49865,10246,15,Y,Y,5,*,49865,
cpsnj01_contig_4588,9713,3,Y,Y,1,3018,4588,
cpsnj01_contig_17207,9242,3,Y,Y,1,2436,17207,
cpsnj01_contig_78987,9098,4,Y,N,1,*,78987,
cpsnj01_contig_36097,8296,125,Y,N,25,*,36097,
cpsnj01_contig_60044,8216,4,Y,Y,1,180,60044,
cpsnj01_contig_78958,8163,6,Y,N,1,*,78958,
cpsnj01_contig_50922,7929,4,Y,Y,1,2650,50922,
cpsnj01_contig_38983,7470,7,Y,Y,2,2604,38983,
cpsnj01_contig_80107,7342,10,Y,N,1,*,80107,
cpsnj01_contig_80136,7265,4,Y,Y,1,208,80136,
cpsnj01_contig_48919,7239,5,Y,N,1,*,48919,
cpsnj01_contig_76965,7233,14,Y,Y,2,2468,76965,
cpsnj01_contig_9235,7109,4,Y,Y,1,50,9235,
cpsnj01_contig_16593,7018,7,Y,Y,1,2960,16593,
cpsnj01_contig_47002,6621,4,Y,Y,1,162,47002,
cpsnj01_contig_62970,6552,17,Y,N,3,*,62970,
cpsnj01_contig_78928,6150,7,Y,N,1,*,78928,
cpsnj01_contig_78724,6136,14,Y,N,2,*,78724,
cpsnj01_contig_31546,5297,4,Y,Y,1,*,31546,
cpsnj01_contig_32560,5263,5,Y,Y,1,130,32560,
cpsnj01_contig_1943,5160,3,Y,Y,1,2300,1943,
cpsnj01_contig_78524,5130,7,Y,N,1,*,78524,
cpsnj01_contig_77129,4928,6,Y,Y,1,*,77129,
cpsnj01_contig_80074,4860,19,Y,Y,3,*,80074,
cpsnj01_contig_37031,4560,19,Y,Y,3,*,37031,
cpsnj01_contig_80113,4545,6,Y,Y,1,*,80113,
cpsnj01_contig_77649,4102,13,Y,Y,1,*,77649,
cpsnj01_contig_15308,3952,57,Y,Y,10,*,15308,
cpsnj01_contig_50022,3559,9,Y,Y,1,*,50022,
cpsnj01_contig_5494,2592,7,Y,Y,3,30,5494,
cpsnj01_contig_77939,2131,16,Y,Y,3,3076,77939,
cpsnj01_contig_39715,1800,4,Y,Y,1,2690,39715,
cpsnj01_contig_35719,946,33,Y,Y,6,*,35719,
cpsnj01_contig_15329,779,3,Y,Y,1,2662,15329,
cpsnj01_contig_18481,690,3,Y,Y,1,3014,18481,
cpsnj01_contig_4522,679,6,Y,Y,1,2362,4522,
cpsnj01_contig_34641,668,72,Y,Y,14,*,34641,
cpsnj01_contig_71338,608,319,Y,Y,63,*,71338,
cpsnj01_contig_18398,505,4,Y,Y,1,3068,18398,
cpsnj01_contig_776,504,11,Y,Y,2,*,776,
cpsnj01_contig_31304,438,3,Y,Y,1,124,31304,
cpsnj02_contig_74383,222111,9,Y,N,2,*,74383,
cpsnj02_contig_76562,156354,13,Y,N,3,*,76562,
cpsnj02_contig_75996,151900,13,Y,N,3,*,75996,
cpsnj02_contig_74945,130917,13,Y,N,2,*,74945,
cpsnj02_contig_75148,108052,7,Y,N,1,*,75148,
cpsnj02_contig_74314,104549,8,Y,N,2,*,74314,
cpsnj02_contig_33787,76808,11,Y,N,2,*,33787,
cpsnj02_contig_76560,60277,5,Y,N,1,*,76560,
cpsnj02_contig_76640,60167,5,Y,N,1,*,76640,
cpsnj02_contig_75990,60021,7,Y,N,1,*,75990,
cpsnj02_contig_74489,59549,4,Y,N,1,*,74489,
cpsnj02_contig_76553,58437,3,Y,N,1,*,76553,
cpsnj02_contig_55043,54961,4,Y,N,1,*,55043,
cpsnj02_contig_74831,53779,17,Y,N,4,*,74831,
cpsnj02_contig_76482,49777,4,Y,N,1,*,76482,
cpsnj02_contig_76626,49355,8,Y,N,2,*,76626,
cpsnj02_contig_76434,48256,7,Y,N,1,*,76434,
cpsnj02_contig_76556,48057,6,Y,N,1,*,76556,
cpsnj02_contig_76475,46294,9,Y,N,2,*,76475,
cpsnj02_contig_76603,44476,7,Y,N,2,*,76603,
cpsnj02_contig_75002,42686,6,Y,N,1,*,75002,
cpsnj02_contig_75572,42627,4,Y,N,1,*,75572,
cpsnj02_contig_75963,40804,3,Y,N,1,*,75963,
cpsnj02_contig_76497,40129,4,Y,N,1,*,76497,
cpsnj02_contig_76433,39774,8,Y,N,2,*,76433,
cpsnj02_contig_76388,39772,5,Y,N,1,*,76388,
cpsnj02_contig_76403,39399,21,Y,N,5,*,76403,
cpsnj02_contig_75637,38975,10,Y,N,2,*,75637,
cpsnj02_contig_75809,38919,15,Y,N,3,*,75809,
cpsnj02_contig_37972,38737,7,Y,N,1,*,37972,
cpsnj02_contig_73882,38371,9,Y,N,2,*,73882,
cpsnj02_contig_75088,37889,11,Y,N,2,*,75088,
cpsnj02_contig_76290,36048,8,Y,N,2,*,76290,
cpsnj02_contig_76391,35307,8,Y,N,1,*,76391,
cpsnj02_contig_76575,34635,6,Y,N,1,*,76575,
cpsnj02_contig_76485,30610,15,Y,N,4,*,76485,
cpsnj02_contig_73715,30311,8,Y,N,2,*,73715,
cpsnj02_contig_3113,29802,16,Y,N,4,*,3113,
cpsnj02_contig_36867,28091,9,Y,Y,2,70,36867,
cpsnj02_contig_74505,27894,6,Y,N,1,*,74505,
cpsnj02_contig_76499,25024,3,Y,Y,1,*,76499,
cpsnj02_contig_76597,23734,7,Y,N,1,*,76597,
cpsnj02_contig_13827,21125,4,Y,Y,1,44,13827,
cpsnj02_contig_8655,20779,4,Y,N,1,*,8655,
cpsnj02_contig_74115,19697,7,Y,N,1,*,74115,
cpsnj02_contig_74971,19431,4,Y,N,1,*,74971,
cpsnj02_contig_499,19314,5,Y,Y,1,2,499,
cpsnj02_contig_13116,15973,6,Y,N,1,*,13116,
cpsnj02_contig_76558,13912,4,Y,N,1,*,76558,
cpsnj02_contig_45460,13695,4,Y,N,1,*,45460,
cpsnj02_contig_75684,13513,6,Y,N,1,*,75684,
cpsnj02_contig_13777,13276,3,Y,Y,1,2186,13777,
cpsnj02_contig_75666,10890,4,Y,N,1,*,75666,
cpsnj02_contig_56671,9780,8,Y,Y,1,2558,56671,
cpsnj02_contig_56243,9694,14,Y,N,3,*,56243,
cpsnj02_contig_11078,8868,9,Y,Y,4,32,11078,
cpsnj02_contig_34167,8799,12,Y,N,3,*,34167,
cpsnj02_contig_75085,8714,4,Y,N,1,*,75085,
cpsnj02_contig_3488,8451,3,Y,Y,1,2564,3488,
cpsnj02_contig_54030,8089,3,Y,Y,1,84,54030,
cpsnj02_contig_76438,7958,6,Y,N,1,*,76438,
cpsnj02_contig_58730,7809,20,Y,Y,4,2016,58730,
cpsnj02_contig_20036,7366,6,Y,Y,1,2314,20036,
cpsnj02_contig_74055,6951,12,Y,N,3,*,74055,
cpsnj02_contig_16783,6620,3,Y,Y,1,2254,16783,
cpsnj02_contig_29302,5670,10,Y,N,2,*,29302,
cpsnj02_contig_19666,5614,9,Y,Y,2,*,19666,
cpsnj02_contig_76636,5422,6,Y,N,1,*,76636,
cpsnj02_contig_8313,5354,3,Y,Y,1,2590,8313,
cpsnj02_contig_47534,4914,8,Y,Y,1,*,47534,
cpsnj02_contig_75215,4681,7,Y,Y,1,*,75215,
cpsnj02_contig_76425,4560,8,Y,Y,1,*,76425,
cpsnj02_contig_65414,4559,9,Y,Y,2,*,65414,
cpsnj02_contig_76279,4428,6,Y,Y,1,*,76279,
cpsnj02_contig_29580,4234,7,Y,Y,1,*,29580,
cpsnj02_contig_50253,3806,21,Y,Y,5,*,50253,
cpsnj02_contig_74606,1563,3,Y,Y,1,2232,74606,
cpsnj02_contig_8402,929,101,Y,Y,25,*,8402,
cpsnj02_contig_37109,668,34,Y,Y,8,*,37109,
cpsnj02_contig_70818,635,190,Y,Y,47,*,70818,
cpsnj03_contig_20783,110579,3,Y,N,1,*,20783,
cpsnj03_contig_63346,98824,6,Y,N,1,*,63346,
cpsnj03_contig_63674,72695,5,Y,N,1,*,63674,
cpsnj03_contig_63871,72434,5,Y,N,1,*,63871,
cpsnj03_contig_60901,67440,5,Y,N,1,*,60901,
cpsnj03_contig_63484,63797,11,Y,N,2,*,63484,
cpsnj03_contig_63881,63606,7,Y,N,1,*,63881,
cpsnj03_contig_62243,60963,14,Y,N,2,*,62243,
cpsnj03_contig_60651,60623,11,Y,N,2,*,60651,
cpsnj03_contig_63865,60120,8,Y,N,1,*,63865,
cpsnj03_contig_62456,52180,4,Y,N,1,*,62456,
cpsnj03_contig_61937,51741,36,Y,N,6,*,61937,
cpsnj03_contig_63672,50255,6,Y,N,1,*,63672,
cpsnj03_contig_62049,49619,9,Y,N,2,*,62049,
cpsnj03_contig_15544,49466,27,Y,N,4,*,15544,
cpsnj03_contig_63636,48989,5,Y,N,1,*,63636,
cpsnj03_contig_25363,48504,3,Y,Y,1,164,25363,
cpsnj03_contig_63820,48382,5,Y,N,1,*,63820,
cpsnj03_contig_60688,48084,5,Y,N,1,*,60688,
cpsnj03_contig_62593,47864,31,Y,N,5,*,62593,
cpsnj03_contig_55383,47198,4,Y,N,1,*,55383,
cpsnj03_contig_55384,45540,4,Y,N,1,*,55384,
cpsnj03_contig_63815,45394,3,Y,N,1,*,63815,
cpsnj03_contig_63670,45040,4,Y,N,1,*,63670,
cpsnj03_contig_61578,45039,13,Y,N,2,*,61578,
cpsnj03_contig_62942,44381,4,Y,N,1,*,62942,
cpsnj03_contig_63493,43386,6,Y,N,1,*,63493,
cpsnj03_contig_62172,43112,8,Y,Y,2,*,62172,
cpsnj03_contig_63900,42876,5,Y,N,1,*,63900,
cpsnj03_contig_63420,42281,11,Y,N,1,*,63420,
cpsnj03_contig_63886,41481,5,Y,N,1,*,63886,
cpsnj03_contig_61473,41198,8,Y,N,1,*,61473,
cpsnj03_contig_63849,39560,3,Y,N,1,*,63849,
cpsnj03_contig_62299,39304,6,Y,N,1,*,62299,
cpsnj03_contig_63328,38665,6,Y,N,1,*,63328,
cpsnj03_contig_63544,38632,12,Y,N,2,*,63544,
cpsnj03_contig_26396,38199,7,Y,N,1,*,26396,
cpsnj03_contig_61212,36771,3,Y,N,1,*,61212,
cpsnj03_contig_42116,36082,13,Y,N,2,*,42116,
cpsnj03_contig_36262,35989,6,Y,Y,1,206,36262,
cpsnj03_contig_3191,33180,4,Y,Y,1,24,3191,
cpsnj03_contig_63905,32416,6,Y,N,1,*,63905,
cpsnj03_contig_63442,31613,9,Y,N,2,*,63442,
cpsnj03_contig_62315,30793,3,Y,Y,1,298,62315,
cpsnj03_contig_63422,30252,7,Y,N,1,*,63422,
cpsnj03_contig_27958,29812,4,Y,Y,1,180,27958,
cpsnj03_contig_39253,25605,4,Y,Y,1,222,39253,
cpsnj03_contig_50508,24077,4,Y,Y,1,262,50508,
cpsnj03_contig_61276,23437,5,Y,N,1,*,61276,
cpsnj03_contig_47616,23343,5,Y,Y,1,258,47616,
cpsnj03_contig_12350,22431,4,Y,Y,1,76,12350,
cpsnj03_contig_55287,22102,4,Y,N,1,*,55287,
cpsnj03_contig_20085,21501,4,Y,Y,1,4690,20085,
cpsnj03_contig_28503,21475,3,Y,Y,1,184,28503,
cpsnj03_contig_62994,21402,8,Y,N,2,*,62994,
cpsnj03_contig_2555,19533,10,Y,Y,1,*,2555,
cpsnj03_contig_63324,19424,5,Y,N,1,*,63324,
cpsnj03_contig_39351,19315,6,Y,Y,1,224,39351,
cpsnj03_contig_63235,18809,7,Y,Y,1,5730,63235,
cpsnj03_contig_1525,17085,9,Y,N,1,*,1525,
cpsnj03_contig_61882,16512,5,Y,N,1,*,61882,
cpsnj03_contig_44974,16253,9,Y,N,1,*,44974,
cpsnj03_contig_63623,15627,20,Y,N,3,*,63623,
cpsnj03_contig_18857,15505,6,Y,Y,1,112,18857,
cpsnj03_contig_21904,15395,3,Y,Y,1,138,21904,
cpsnj03_contig_63294,15324,4,Y,N,1,*,63294,
cpsnj03_contig_9789,15218,7,Y,Y,1,5666,9789,
cpsnj03_contig_6004,14378,5,Y,Y,1,4246,6004,
cpsnj03_contig_24910,14346,5,Y,Y,1,5656,24910,
cpsnj03_contig_31171,13978,3,Y,Y,1,192,31171,
cpsnj03_contig_23249,13911,3,Y,Y,1,4072,23249,
cpsnj03_contig_18415,13554,5,Y,Y,1,108,18415,
cpsnj03_contig_242,13041,3,Y,Y,1,2,242,
cpsnj03_contig_53999,12963,5,Y,N,1,*,53999,
cpsnj03_contig_16228,12899,4,Y,Y,2,102,16228,
cpsnj03_contig_44681,12766,12,Y,Y,4,240,44681,
cpsnj03_contig_60864,12700,20,Y,N,4,*,60864,
cpsnj03_contig_63863,12427,3,Y,N,1,*,63863,
cpsnj03_contig_60778,12237,9,Y,N,1,*,60778,
cpsnj03_contig_61318,11613,4,Y,N,1,*,61318,
cpsnj03_contig_8249,11547,7,Y,N,1,*,8249,
cpsnj03_contig_25361,11414,6,Y,Y,1,5128,25361,
cpsnj03_contig_28916,11222,4,Y,Y,1,190,28916,
cpsnj03_contig_63233,9993,8,Y,N,1,*,63233,
cpsnj03_contig_9656,9892,11,Y,Y,1,*,9656,
cpsnj03_contig_45154,9787,4,Y,N,1,*,45154,
cpsnj03_contig_61484,9635,4,Y,Y,1,4260,61484,
cpsnj03_contig_548,9556,6,Y,Y,1,3806,548,
cpsnj03_contig_25089,9303,5,Y,Y,1,5158,25089,
cpsnj03_contig_31551,9232,4,Y,Y,1,4388,31551,
cpsnj03_contig_39098,9152,3,Y,Y,1,5750,39098,
cpsnj03_contig_7916,9062,20,Y,Y,4,3766,7916,
cpsnj03_contig_25254,8463,5,Y,Y,1,5610,25254,
cpsnj03_contig_46523,8356,14,Y,Y,2,5382,46523,
cpsnj03_contig_49495,8186,3,Y,Y,1,260,49495,
cpsnj03_contig_27922,8165,8,Y,Y,1,5754,27922,
cpsnj03_contig_63241,8127,4,Y,N,1,*,63241,
cpsnj03_contig_63619,8109,8,Y,N,2,*,63619,
cpsnj03_contig_61654,7262,5,Y,Y,1,4444,61654,
cpsnj03_contig_62776,6767,4,Y,Y,1,*,62776,
cpsnj03_contig_62146,6493,8,Y,N,1,*,62146,
cpsnj03_contig_43504,6164,18,Y,N,2,*,43504,
cpsnj03_contig_61399,6141,9,Y,Y,2,5598,61399,
cpsnj03_contig_55802,6075,8,Y,N,1,*,55802,
cpsnj03_contig_62307,5965,3,Y,Y,1,4202,62307,
cpsnj03_contig_1925,5906,5,Y,Y,1,3920,1925,
cpsnj03_contig_30040,5793,3,Y,N,1,*,30040,
cpsnj03_contig_37086,5451,6,Y,N,1,*,37086,
cpsnj03_contig_60849,5369,6,Y,N,1,*,60849,
cpsnj03_contig_30368,4984,5,Y,Y,1,4840,30368,
cpsnj03_contig_32417,4744,9,Y,Y,1,*,32417,
cpsnj03_contig_63000,4528,12,Y,Y,1,*,63000,
cpsnj03_contig_7764,4342,8,Y,Y,1,*,7764,
cpsnj03_contig_63772,4322,7,Y,Y,1,*,63772,
cpsnj03_contig_15637,4274,20,Y,Y,4,*,15637,
cpsnj03_contig_20729,3194,10,Y,Y,1,*,20729,
cpsnj03_contig_48883,702,196,Y,Y,39,*,48883,
cpsnj03_contig_3327,635,7,Y,Y,1,4050,3327,
cpsnj04_contig_41268,229133,9,Y,N,2,*,41268,
cpsnj04_contig_90517,192276,18,Y,N,4,*,90517,
cpsnj04_contig_86221,143521,20,Y,N,5,*,86221,
cpsnj04_contig_1276,134412,9,Y,N,2,*,1276,
cpsnj04_contig_88850,112923,17,Y,N,4,*,88850,
