cpsnj01_SemiBin_0	4476	4138
cpsnj01_SemiBin_10	5588	4741
cpsnj01_SemiBin_110	4795	3725
cpsnj01_SemiBin_112	6042	4563
cpsnj01_SemiBin_115	4899	4178
cpsnj01_SemiBin_118	2839	2173
cpsnj01_SemiBin_11	3720	3450
cpsnj01_SemiBin_1216	2597	2237
cpsnj01_SemiBin_1234	2609	2014
cpsnj01_SemiBin_123	4364	3666
cpsnj01_SemiBin_124	4748	3981
cpsnj01_SemiBin_1263	4884	3847
cpsnj01_SemiBin_127	3727	2976
cpsnj01_SemiBin_12	5959	5270
cpsnj01_SemiBin_146	2367	2185
cpsnj01_SemiBin_14	6768	5846
cpsnj01_SemiBin_156	4255	3311
cpsnj01_SemiBin_15	4508	3675
cpsnj01_SemiBin_16	2907	2619
cpsnj01_SemiBin_17	6643	5602
cpsnj01_SemiBin_18	4862	4258
cpsnj01_SemiBin_19	5724	4952
cpsnj01_SemiBin_1	5184	4590
cpsnj01_SemiBin_208	3892	3096
cpsnj01_SemiBin_20	3018	2761
cpsnj01_SemiBin_21	7448	6236
cpsnj01_SemiBin_22	8072	6032
cpsnj01_SemiBin_23	3443	2726
cpsnj01_SemiBin_24	4257	3610
cpsnj01_SemiBin_25	4792	4071
cpsnj01_SemiBin_26	3660	3333
cpsnj01_SemiBin_275	4703	3087
cpsnj01_SemiBin_286	4197	3537
cpsnj01_SemiBin_28	3246	2931
cpsnj01_SemiBin_29	2580	2048
cpsnj01_SemiBin_2	3542	3248
cpsnj01_SemiBin_30	11314	7842
cpsnj01_SemiBin_32	4321	3740
cpsnj01_SemiBin_34	2970	2660
cpsnj01_SemiBin_35	5019	3605
cpsnj01_SemiBin_37	4568	3284
cpsnj01_SemiBin_38	8322	5589
cpsnj01_SemiBin_399	2974	2659
cpsnj01_SemiBin_39	4441	3982
cpsnj01_SemiBin_409	4717	3634
cpsnj01_SemiBin_40	4418	3783
cpsnj01_SemiBin_42	1683	1207
cpsnj01_SemiBin_43	5639	4762
cpsnj01_SemiBin_45	3940	3628
cpsnj01_SemiBin_47	2992	2454
cpsnj01_SemiBin_48	2254	1812
cpsnj01_SemiBin_49	10455	7972
cpsnj01_SemiBin_4	5835	4902
cpsnj01_SemiBin_51	4492	3431
cpsnj01_SemiBin_52	6636	5344
cpsnj01_SemiBin_54	3006	2725
cpsnj01_SemiBin_56	2116	1909
cpsnj01_SemiBin_57	2441	2283
cpsnj01_SemiBin_59	3589	2960
cpsnj01_SemiBin_5	4940	3997
cpsnj01_SemiBin_61	2472	2110
cpsnj01_SemiBin_62	4188	3263
cpsnj01_SemiBin_63	1882	1713
cpsnj01_SemiBin_64	3720	2998
cpsnj01_SemiBin_65	4141	3226
cpsnj01_SemiBin_66	5383	4042
cpsnj01_SemiBin_6	5577	4908
cpsnj01_SemiBin_71	4882	4116
cpsnj01_SemiBin_73	10130	6721
cpsnj01_SemiBin_77	3063	2529
cpsnj01_SemiBin_7	2884	2566
cpsnj01_SemiBin_82	3618	3098
cpsnj01_SemiBin_83	2759	2266
cpsnj01_SemiBin_85	4913	4073
cpsnj01_SemiBin_87	3617	2770
cpsnj01_SemiBin_8	3313	2826
cpsnj01_SemiBin_90	4961	3940
cpsnj01_SemiBin_92	2542	2172
cpsnj01_SemiBin_95	6539	5521
cpsnj01_SemiBin_9	3549	3183
cpsnj02_SemiBin_0	2233	2077
cpsnj02_SemiBin_102	3669	3331
cpsnj02_SemiBin_104	2515	2314
cpsnj02_SemiBin_106	1992	1595
cpsnj02_SemiBin_107	3581	3229
cpsnj02_SemiBin_109	2007	1786
cpsnj02_SemiBin_10	3844	3391
cpsnj02_SemiBin_111	4298	3879
cpsnj02_SemiBin_112	3356	2566
cpsnj02_SemiBin_11	6564	5725
cpsnj02_SemiBin_126	4862	3685
cpsnj02_SemiBin_12	2566	2372
cpsnj02_SemiBin_132	5635	4503
cpsnj02_SemiBin_135	1965	1751
cpsnj02_SemiBin_137	4781	3609
cpsnj02_SemiBin_138	4040	3187
cpsnj02_SemiBin_13	2137	1789
cpsnj02_SemiBin_146	4205	3240
cpsnj02_SemiBin_14	3646	2839
cpsnj02_SemiBin_159	4432	3836
cpsnj02_SemiBin_15	8252	6458
cpsnj02_SemiBin_1617	5716	4087
cpsnj02_SemiBin_1629	10186	8260
cpsnj02_SemiBin_165	6410	5649
cpsnj02_SemiBin_1670	9470	8372
cpsnj02_SemiBin_16	6026	4769
cpsnj02_SemiBin_1731	7061	5113
cpsnj02_SemiBin_17	4859	4240
cpsnj02_SemiBin_18	7212	6339
cpsnj02_SemiBin_1	3978	3640
cpsnj02_SemiBin_206	1993	1500
cpsnj02_SemiBin_20	4707	3841
cpsnj02_SemiBin_213	7138	2433
cpsnj02_SemiBin_21	2612	2341
cpsnj02_SemiBin_22	4535	3747
cpsnj02_SemiBin_23	6030	5011
cpsnj02_SemiBin_24	3848	3716
cpsnj02_SemiBin_256	5963	5061
cpsnj02_SemiBin_25	7210	5826
cpsnj02_SemiBin_26	3420	2981
cpsnj02_SemiBin_27	5624	4602
cpsnj02_SemiBin_28	5087	3982
cpsnj02_SemiBin_29	6582	5844
cpsnj02_SemiBin_2	3129	2725
cpsnj02_SemiBin_30	5776	4796
cpsnj02_SemiBin_31	6330	5476
cpsnj02_SemiBin_33	4307	3288
cpsnj02_SemiBin_34	6778	5256
cpsnj02_SemiBin_35	2617	2336
cpsnj02_SemiBin_36	4555	3600
cpsnj02_SemiBin_37	5106	4174
cpsnj02_SemiBin_38	3700	2834
cpsnj02_SemiBin_39	5155	3979
cpsnj02_SemiBin_3	3983	3091
cpsnj02_SemiBin_40	8657	6915
cpsnj02_SemiBin_42	4284	3756
cpsnj02_SemiBin_43	3892	3230
cpsnj02_SemiBin_44	2039	1582
cpsnj02_SemiBin_45	5687	4957
cpsnj02_SemiBin_46	1985	1788
cpsnj02_SemiBin_47	7071	5241
cpsnj02_SemiBin_4	4359	3516
cpsnj02_SemiBin_54	2253	1889
cpsnj02_SemiBin_55	2312	1965
cpsnj02_SemiBin_56	6151	4464
cpsnj02_SemiBin_59	4800	3739
cpsnj02_SemiBin_5	3631	3212
cpsnj02_SemiBin_60	2321	2098
cpsnj02_SemiBin_61	3232	2768
cpsnj02_SemiBin_638	5022	3580
cpsnj02_SemiBin_63	5617	4675
cpsnj02_SemiBin_64	4348	3653
cpsnj02_SemiBin_66	4988	4094
cpsnj02_SemiBin_68	9187	6410
cpsnj02_SemiBin_69	5534	3790
cpsnj02_SemiBin_71	5671	4343
cpsnj02_SemiBin_74	4307	3715
cpsnj02_SemiBin_76	5952	4347
cpsnj02_SemiBin_78	2160	1946
cpsnj02_SemiBin_7	6163	5001
cpsnj02_SemiBin_80	4123	3125
cpsnj02_SemiBin_81	4349	3381
cpsnj02_SemiBin_88	3772	3310
cpsnj02_SemiBin_8	5227	4365
cpsnj02_SemiBin_94	2203	2021
cpsnj02_SemiBin_97	2558	2110
cpsnj02_SemiBin_99	3805	3073
cpsnj02_SemiBin_9	2685	2200
cpsnj03_SemiBin_0	6440	5962
cpsnj03_SemiBin_100	4344	3515
cpsnj03_SemiBin_101	5468	4177
cpsnj03_SemiBin_103	3185	2460
cpsnj03_SemiBin_104	4429	3327
