,simpson,chao1,shannon,Site,Ecosystem
SRR25158392,0.9967909399313054,1927.8486488791987,7.251344191071007,SMAG,Agricultural Land
SRR25158337,0.9975341476883175,1425.1524051675779,7.581498213973269,SMAG,Grassland
SRR25158308,0.9981510467716237,2336.7270926688816,7.7197684734603795,SMAG,Bare Land
SRR25158470,0.9975695074687599,2205.312481721194,7.450533192318001,SMAG,Agricultural Land
SRR25158524,0.9981548406692291,2354.582488462451,7.749928125792492,SMAG,Agricultural Land
SRR25158494,0.9776075932136838,2507.0630345436543,6.597753044040217,SMAG,Agricultural Land
SRR25158436,0.997186929847393,2231.756306246955,7.357496233591972,SMAG,Forest
SRR25158490,0.9978563441018181,3570.4761400332345,7.768355194387471,SMAG,Agricultural Land
SRR25158258,0.9970548347441129,2709.3668794206856,7.268260819708883,SMAG,Agricultural Land
SRR25158201,0.9974682483315379,2228.4750169539143,7.497832099172239,SMAG,Agricultural Land
SRR25158481,0.9979545516739067,3007.7858275802178,7.644813930950121,SMAG,Agricultural Land
SRR25158530,0.9975764800626485,2882.593069646691,7.484696770021924,SMAG,Forest
SRR25158528,0.997973047253301,2879.5241606260656,7.715568996541408,SMAG,Agricultural Land
SRR25158213,0.9979119212711233,3553.7367411968485,7.666233152534293,SMAG,Agricultural Land
SRR25158304,0.99786337046742,1662.053022581535,7.6405269890053455,SMAG,Bare Land
SRR25158344,0.9975598410937161,1831.326852372531,7.592748062135916,SMAG,Grassland
SRR25158313,0.9982583883880654,1646.567102258584,7.687096947066815,SMAG,Wetland
SRR25158517,0.9981392689298587,3015.290741535004,7.765312249642236,SMAG,Agricultural Land
SRR25158189,0.9971596776246593,2427.3924694232164,7.289340064893493,SMAG,Agricultural Land
SRR25158218,0.9977696822831923,3721.227323689846,7.677320613586976,SMAG,Agricultural Land
SRR25158415,0.9968782451501946,2872.6159680297187,7.248232540690824,SMAG,Agricultural Land
SRR25158250,0.9920323296267042,1560.3390455685046,6.176124485070723,SMAG,Forest
SRR25158450,0.9913118293273084,1199.5452568084336,6.148925882398522,SMAG,Agricultural Land
SRR25158190,0.9977220308899878,3287.763451844751,7.5414533931298,SMAG,Grassland
SRR25158369,0.9974938432073669,2627.522141464059,7.458202266769058,SMAG,Agricultural Land
SRR25158229,0.9982407391247066,2793.0795772883803,7.784561282873603,SMAG,Agricultural Land
SRR25158200,0.9954419462025481,2036.3215293939309,6.952487338713617,SMAG,Grassland
SRR25158533,0.9947402646862017,2034.5744850098356,6.884419929043226,SMAG,Agricultural Land
