cpsnj01@@@aac2p@@@contig_78592_polypolish	cpsnj01@@@aac2p@@@contig_78592_polypolish	100	1.11e-136	377
cpsnj01@@@aac2p@@@contig_2547_polypolish	cpsnj01@@@aac2p@@@contig_2547_polypolish	100	7.89e-133	367
cpsnj01@@@aac2p@@@contig_76727_polypolish	s24@@@aac2p@@@contig_1035_polypolish	99.5	8.39e-143	394
cpsnj01@@@aac2p@@@contig_11054_polypolish	cpsnj01@@@aac2p@@@contig_11054_polypolish	100	3.73e-134	371
cpsnj01@@@aac2p@@@contig_68468_polypolish	cpsnj01@@@aac2p@@@contig_68468_polypolish	100	2.53e-131	363
cpsnj01@@@aac2p@@@contig_51681_polypolish	cpsnj01@@@aac2p@@@contig_51681_polypolish	100	3.38e-149	410
cpsnj01@@@aac2p@@@contig_62832_polypolish	cpsnj01@@@aac2p@@@contig_62832_polypolish	100	8.84e-136	375
cpsnj01@@@aac2p@@@contig_6138_polypolish	cpsnj01@@@aac2p@@@contig_6138_polypolish	100	4.22e-128	355
cpsnj01@@@aac2p@@@contig_67575_polypolish	cpsnj01@@@aac2p@@@contig_67575_polypolish	100	4.27e-141	390
cpsnj01@@@aac2p@@@contig_26539_polypolish	cpsnj01@@@aac2p@@@contig_26539_polypolish	100	1.11e-135	375
cpsnj01@@@aac2p@@@contig_16897_polypolish	cpsnj01@@@aac2p@@@contig_16897_polypolish	100	3.59e-131	363
cpsnj01@@@aac2p@@@contig_10654_polypolish	cpsnj01@@@aac2p@@@contig_10654_polypolish	100	9.17e-129	357
cpsnj01@@@aac2p@@@contig_3893_polypolish	cpsnj01@@@aac2p@@@contig_3893_polypolish	100	3.44e-141	389
cpsnj01@@@aac2p@@@contig_19119_polypolish	cpsnj16@@@aac2p@@@contig_48766_polypolish	100	3.27e-141	389
cpsnj01@@@aac2p@@@contig_50188_polypolish	snj11@@@aac2p@@@contig_13058_polypolish	98.9	1.46e-125	349
cpsnj01@@@aac2p@@@contig_3172_polypolish	cpsnj01@@@aac2p@@@contig_3172_polypolish	100	3.90e-129	358
cpsnj01@@@aac2p@@@contig_55636_polypolish	cpsnj01@@@aac2p@@@contig_55636_polypolish	100	4.57e-132	365
cpsnj01@@@aac2p@@@contig_16906_polypolish	cpsnj01@@@aac2p@@@contig_16906_polypolish	100	4.34e-139	384
cpsnj01@@@aac2p@@@contig_21598_polypolish	cpsnj01@@@aac2p@@@contig_21598_polypolish	100	4.74e-135	373
cpsnj01@@@aac3_1@@@contig_407_polypolish	cpsnj01@@@aac3_1@@@contig_407_polypolish	100	1.08e-107	301
cpsnj01@@@aac3_1@@@contig_6909_polypolish	cpsnj01@@@aac3_1@@@contig_6909_polypolish	100	3.33e-103	290
cpsnj01@@@aac3_1@@@contig_66424_polypolish	cpsnj01@@@aac3_1@@@contig_66424_polypolish	100	1.54e-107	301
cpsnj01@@@aac3_1@@@contig_36345_polypolish	cpsnj01@@@aac3_1@@@contig_36345_polypolish	100	1.08e-108	304
cpsnj01@@@aac3_1@@@contig_40808_polypolish	cpsnj01@@@aac3_1@@@contig_40808_polypolish	100	3.55e-116	324
cpsnj01@@@aac3_1@@@contig_16504_polypolish	cpsnj01@@@aac3_1@@@contig_16504_polypolish	100	3.10e-107	300
cpsnj01@@@aac3_1@@@contig_10550_polypolish	cpsnj01@@@aac3_1@@@contig_10550_polypolish	100	7.36e-105	294
cpsnj01@@@aac3_1@@@contig_2975_polypolish	cpsnj01@@@aac3_1@@@contig_2975_polypolish	100	1.18e-105	296
cpsnj01@@@aac3_1@@@contig_71212_polypolish	cpsnj01@@@aac3_1@@@contig_71212_polypolish	100	2.93e-99	280
cpsnj01@@@aac3_1@@@contig_11893_polypolish	cpsnj01@@@aac3_1@@@contig_11893_polypolish	100	4.59e-104	292
cpsnj01@@@aac3_1@@@contig_4068_polypolish	cpsnj01@@@aac3_1@@@contig_4068_polypolish	100	3.23e-109	305
cpsnj01@@@aac3_1@@@contig_74880_polypolish	cpsnj01@@@aac3_1@@@contig_74880_polypolish	100	4.24e-105	295
cpsnj01@@@aac3_1@@@contig_11958_polypolish	cpsnj01@@@aac3_1@@@contig_11958_polypolish	100	6.55e-108	302
