cpsnj01_contig_62473	linear	21665	0.9939	12 # class # Bacilli	cpsnj01	2
cpsnj01_contig_68824	linear	47631	0.9918	96 # family # Rhizobiaceae	cpsnj01	3
cpsnj01_contig_56426	linear	26475	0.9918	96 # family # Rhizobiaceae	cpsnj01	3
cpsnj01_contig_60924	linear	78135	0.9899	96 # family # Rhizobiaceae	cpsnj01	2
cpsnj01_contig_75747	linear	14166	0.9892	25709 # genus # Microvirga	cpsnj01	3
cpsnj01_contig_1656	linear	14431	0.9891	3 # phylum # Pseudomonadota	cpsnj01	0
cpsnj01_contig_79352	circular	14454	0.9891	585 # genus # Streptomyces	cpsnj01	0
cpsnj01_contig_9676	linear	8904	0.9889	2 # superkingdom # Bacteria	cpsnj01	0
cpsnj01_contig_70688	linear	41168	0.9889	90 # class # Alphaproteobacteria	cpsnj01	0
cpsnj01_contig_43961	linear	25507	0.9888	95 # order # Rhizobiales	cpsnj01	2
cpsnj01_contig_10733	linear	21945	0.9887	96 # family # Rhizobiaceae	cpsnj01	1
cpsnj01_contig_39292	linear	87074	0.9886	25709 # genus # Microvirga	cpsnj01	19
cpsnj01_contig_40961	linear	46649	0.9885	501 # genus # Rhizobium	cpsnj01	0
cpsnj01_contig_42162	linear	20788	0.9884	96 # family # Rhizobiaceae	cpsnj01	1
cpsnj01_contig_30605	linear	109654	0.9884	96 # family # Rhizobiaceae	cpsnj01	0
cpsnj01_contig_7004	linear	59921	0.9883	96 # family # Rhizobiaceae	cpsnj01	2
cpsnj01_contig_60307	linear	24037	0.9883	95 # order # Rhizobiales	cpsnj01	0
cpsnj01_contig_16990	linear	18254	0.9883	5161 # species # Rhizobium sp900466475	cpsnj01	2
cpsnj01_contig_27324	linear	12564	0.9882	1264 # family # Xanthobacteraceae	cpsnj01	0
cpsnj01_contig_78513	linear	21163	0.9880	2212 # family # Beijerinckiaceae	cpsnj01	2
cpsnj01_contig_11484	linear	23551	0.9880	501 # genus # Rhizobium	cpsnj01	3
cpsnj01_contig_10008	linear	12173	0.9878	3 # phylum # Pseudomonadota	cpsnj01	0
cpsnj01_contig_40279	linear	15850	0.9877	90 # class # Alphaproteobacteria	cpsnj01	1
cpsnj01_contig_24030	linear	15813	0.9876	1265 # genus # Bradyrhizobium	cpsnj01	2
cpsnj01_contig_77615	linear	23590	0.9875	23847 # genus # Sphingomicrobium	cpsnj01	3
cpsnj01_contig_78860	linear	39389	0.9873	2244 # family # Dermatophilaceae	cpsnj01	3
cpsnj01_contig_75409	linear	32316	0.9870	96 # family # Rhizobiaceae	cpsnj01	2
cpsnj01_contig_25724	linear	15863	0.9870	23847 # genus # Sphingomicrobium	cpsnj01	0
cpsnj01_contig_11152	linear	14609	0.9869	1178 # family # Sphingomonadaceae	cpsnj01	0
cpsnj01_contig_20948	linear	19278	0.9868	1178 # family # Sphingomonadaceae	cpsnj01	2
cpsnj01_contig_70834	linear	27883	0.9866	71411 # species # Rhizobium sp012641395	cpsnj01	0
cpsnj01_contig_2691	linear	8832	0.9866	585 # genus # Streptomyces	cpsnj01	0
cpsnj01_contig_60212	linear	20744	0.9865	1265 # genus # Bradyrhizobium	cpsnj01	8
cpsnj01_contig_76313	linear	15885	0.9861	96 # family # Rhizobiaceae	cpsnj01	3
cpsnj01_contig_5625	linear	36150	0.9861	95 # order # Rhizobiales	cpsnj01	0
cpsnj01_contig_25594	linear	28343	0.9859	31 # class # Actinomycetes	cpsnj01	0
cpsnj01_contig_70388	linear	15974	0.9858	3 # phylum # Pseudomonadota	cpsnj01	0
cpsnj01_contig_79960	linear	65051	0.9857	23847 # genus # Sphingomicrobium	cpsnj01	4
cpsnj01_contig_42767	linear	10768	0.9853	47174 # genus # Skermanella	cpsnj01	4
cpsnj01_contig_62378	linear	20891	0.9851	19579 # species # Phyllobacterium sophorae	cpsnj01	0
cpsnj01_contig_45996	linear	38166	0.9850	96 # family # Rhizobiaceae	cpsnj01	4
cpsnj01_contig_14433	linear	59607	0.9849	25709 # genus # Microvirga	cpsnj01	2
cpsnj01_contig_10236	linear	38462	0.9849	90 # class # Alphaproteobacteria	cpsnj01	0
cpsnj01_contig_16199	linear	24635	0.9849	8370 # genus # Pararhizobium	cpsnj01	2
cpsnj01_contig_42817	linear	17599	0.9849	501 # genus # Rhizobium	cpsnj01	4
cpsnj01_contig_71942	linear	45576	0.9848	95 # order # Rhizobiales	cpsnj01	0
cpsnj01_contig_4056	linear	28075	0.9848	25709 # genus # Microvirga	cpsnj01	1
cpsnj01_contig_46550	linear	11710	0.9848	1265 # genus # Bradyrhizobium	cpsnj01	6
cpsnj01_contig_292	linear	36999	0.9845	50745 # genus # Dongia A	cpsnj01	11
cpsnj01_contig_16325	linear	20534	0.9845	5161 # species # Rhizobium sp900466475	cpsnj01	5
cpsnj01_contig_28852	linear	9000	0.9844	1724 # genus # Ensifer	cpsnj01	0
cpsnj01_contig_8647	linear	53732	0.9844	1178 # family # Sphingomonadaceae	cpsnj01	1
cpsnj01_contig_41080	linear	22578	0.9843	585 # genus # Streptomyces	cpsnj01	0
cpsnj01_contig_9215	linear	15544	0.9840	90 # class # Alphaproteobacteria	cpsnj01	0
cpsnj01_contig_10261	linear	12737	0.9840	90 # class # Alphaproteobacteria	cpsnj01	0
cpsnj01_contig_27009	linear	11905	0.9838	90 # class # Alphaproteobacteria	cpsnj01	0
cpsnj01_contig_78895	linear	52274	0.9838	1265 # genus # Bradyrhizobium	cpsnj01	9
