genome,score,completeness,contamination,strain_heterogeneity,size,N50,cluster,taxonomy,tax_confidence,cluster_members,closest_cluster_member,furthest_cluster_member,completeness_metric,contamination_metric
sample17_SemiBin_471.fa,38.56053012181591,NA,NA,NA,NA,NA,1_0,NA,NA,1,NA,NA,NA,NA
sample19_SemiBin_538.fa,68.37201548635973,NA,NA,NA,NA,NA,2_0,NA,NA,1,NA,NA,NA,NA
sample29_SemiBin_441.fa,78.16521736125317,NA,NA,NA,NA,NA,3_0,NA,NA,1,NA,NA,NA,NA
snj13_SemiBin_114.fa,60.78949614943131,NA,NA,NA,NA,NA,4_0,NA,NA,1,NA,NA,NA,NA
sample27_SemiBin_107.fa,56.186529587844745,NA,NA,NA,NA,NA,5_0,NA,NA,1,NA,NA,NA,NA
snj02_SemiBin_72.fa,55.25700563299097,NA,NA,NA,NA,NA,6_0,NA,NA,1,NA,NA,NA,NA
snj01_SemiBin_57.fa,66.77613809289143,NA,NA,NA,NA,NA,7_0,NA,NA,1,NA,NA,NA,NA
sample17_SemiBin_91.fa,67.38422665513738,NA,NA,NA,NA,NA,8_0,NA,NA,1,NA,NA,NA,NA
snj09_SemiBin_226.fa,51.14710136689186,NA,NA,NA,NA,NA,9_0,NA,NA,1,NA,NA,NA,NA
sample20_SemiBin_46.fa,97.4257163516336,NA,NA,NA,NA,NA,10_0,NA,NA,1,NA,NA,NA,NA
sample29_SemiBin_232.fa,52.5813187572527,NA,NA,NA,NA,NA,11_0,NA,NA,1,NA,NA,NA,NA
sample29_SemiBin_325.fa,61.22234114782484,NA,NA,NA,NA,NA,12_0,NA,NA,1,NA,NA,NA,NA
sample24_SemiBin_212.fa,79.68132427418581,NA,NA,NA,NA,NA,13_1,NA,NA,1,NA,NA,NA,NA
sample6_SemiBin_322.fa,77.01102785401939,NA,NA,NA,NA,NA,13_2,NA,NA,1,NA,NA,NA,NA
sample9_SemiBin_285.fa,66.12859480775332,NA,NA,NA,NA,NA,13_3,NA,NA,1,NA,NA,NA,NA
sample1_SemiBin_606.fa,52.99763574157081,NA,NA,NA,NA,NA,13_4,NA,NA,1,NA,NA,NA,NA
sample7_SemiBin_443.fa,47.580298986572025,NA,NA,NA,NA,NA,13_5,NA,NA,1,NA,NA,NA,NA
sample30_SemiBin_209.fa,47.89923004062179,NA,NA,NA,NA,NA,13_6,NA,NA,1,NA,NA,NA,NA
sample14_SemiBin_250.fa,61.35604746422304,NA,NA,NA,NA,NA,13_7,NA,NA,1,NA,NA,NA,NA
sample27_SemiBin_342.fa,55.76438722603312,NA,NA,NA,NA,NA,13_8,NA,NA,1,NA,NA,NA,NA
cpsnj10_SemiBin_469.fa,38.52800145682319,NA,NA,NA,NA,NA,13_9,NA,NA,1,NA,NA,NA,NA
sample17_SemiBin_399.fa,50.38732308503418,NA,NA,NA,NA,NA,13_10,NA,NA,1,NA,NA,NA,NA
sample13_SemiBin_453.fa,36.0424261420381,NA,NA,NA,NA,NA,13_11,NA,NA,1,NA,NA,NA,NA
sample15_SemiBin_384.fa,71.22150020118255,NA,NA,NA,NA,NA,13_12,NA,NA,1,NA,NA,NA,NA
sample16_SemiBin_455.fa,50.51708237081812,NA,NA,NA,NA,NA,13_13,NA,NA,1,NA,NA,NA,NA
snj19_SemiBin_436.fa,49.9661933915931,NA,NA,NA,NA,NA,14_0,NA,NA,1,NA,NA,NA,NA
sample10_SemiBin_320.fa,73.6274228425401,NA,NA,NA,NA,NA,15_1,NA,NA,1,NA,NA,NA,NA
sample20_SemiBin_484.fa,94.814226067181,NA,NA,NA,NA,NA,15_2,NA,NA,1,NA,NA,NA,NA
sample13_SemiBin_319.fa,98.37165598903438,NA,NA,NA,NA,NA,15_3,NA,NA,1,NA,NA,NA,NA
sample18_SemiBin_494.fa,86.18751273105222,NA,NA,NA,NA,NA,15_4,NA,NA,1,NA,NA,NA,NA
sample1_SemiBin_672.fa,61.04384320944903,NA,NA,NA,NA,NA,15_5,NA,NA,1,NA,NA,NA,NA
sample12_SemiBin_158.fa,92.68211314141035,NA,NA,NA,NA,NA,15_6,NA,NA,1,NA,NA,NA,NA
sample22_SemiBin_394.fa,64.72038317062743,NA,NA,NA,NA,NA,15_7,NA,NA,1,NA,NA,NA,NA
sample11_SemiBin_217.fa,93.936402796207,NA,NA,NA,NA,NA,15_8,NA,NA,1,NA,NA,NA,NA
sample27_SemiBin_310.fa,68.85583354547256,NA,NA,NA,NA,NA,15_9,NA,NA,1,NA,NA,NA,NA
sample29_SemiBin_407.fa,97.3648977584589,NA,NA,NA,NA,NA,15_10,NA,NA,1,NA,NA,NA,NA
sample25_SemiBin_292.fa,92.60271074927309,NA,NA,NA,NA,NA,15_11,NA,NA,1,NA,NA,NA,NA
sample15_SemiBin_451.fa,76.7828623972503,NA,NA,NA,NA,NA,15_12,NA,NA,1,NA,NA,NA,NA
sample19_SemiBin_422.fa,81.09724180437935,NA,NA,NA,NA,NA,15_13,NA,NA,1,NA,NA,NA,NA
sample30_SemiBin_236.fa,55.707236584559375,NA,NA,NA,NA,NA,15_14,NA,NA,1,NA,NA,NA,NA
sample26_SemiBin_873.fa,12.417362540954151,NA,NA,NA,NA,NA,15_15,NA,NA,1,NA,NA,NA,NA
snj01_SemiBin_500.fa,47.66237870237577,NA,NA,NA,NA,NA,16_1,NA,NA,1,NA,NA,NA,NA
snj20_SemiBin_326.fa,51.09969755716608,NA,NA,NA,NA,NA,16_2,NA,NA,1,NA,NA,NA,NA
snj02_SemiBin_252.fa,49.86170864913551,NA,NA,NA,NA,NA,16_3,NA,NA,1,NA,NA,NA,NA
cpsnj01_SemiBin_275.fa,38.27605008526638,NA,NA,NA,NA,NA,16_4,NA,NA,1,NA,NA,NA,NA
cpsnj08_SemiBin_342.fa,27.66007757922573,NA,NA,NA,NA,NA,16_5,NA,NA,1,NA,NA,NA,NA
sample23_SemiBin_431.fa,33.44411315296778,NA,NA,NA,NA,NA,17_1,NA,NA,1,NA,NA,NA,NA
sample25_SemiBin_366.fa,64.14100581819294,NA,NA,NA,NA,NA,17_2,NA,NA,1,NA,NA,NA,NA
sample14_SemiBin_231.fa,70.03148722218678,NA,NA,NA,NA,NA,17_3,NA,NA,1,NA,NA,NA,NA
sample17_SemiBin_412.fa,57.237943534530565,NA,NA,NA,NA,NA,17_4,NA,NA,1,NA,NA,NA,NA
sample15_SemiBin_475.fa,41.28976331789366,NA,NA,NA,NA,NA,17_5,NA,NA,1,NA,NA,NA,NA
snj20_SemiBin_400.fa,34.84236959390519,NA,NA,NA,NA,NA,17_6,NA,NA,1,NA,NA,NA,NA
cpsnj10_SemiBin_827.fa,49.43221282509867,NA,NA,NA,NA,NA,18_1,NA,NA,1,NA,NA,NA,NA
cpsnj11_SemiBin_345.fa,84.45330566257914,NA,NA,NA,NA,NA,18_2,NA,NA,1,NA,NA,NA,NA
sample24_SemiBin_240.fa,38.249193786134526,NA,NA,NA,NA,NA,19_0,NA,NA,1,NA,NA,NA,NA
snj03_SemiBin_301.fa,64.97353431323884,NA,NA,NA,NA,NA,20_0,NA,NA,1,NA,NA,NA,NA
sample19_SemiBin_382.fa,96.82965509667982,NA,NA,NA,NA,NA,21_1,NA,NA,1,NA,NA,NA,NA
sample30_SemiBin_279.fa,45.00499489850593,NA,NA,NA,NA,NA,21_2,NA,NA,1,NA,NA,NA,NA
sample16_SemiBin_458.fa,36.794154168895055,NA,NA,NA,NA,NA,21_3,NA,NA,1,NA,NA,NA,NA
sample17_SemiBin_602.fa,35.99693994173396,NA,NA,NA,NA,NA,22_0,NA,NA,1,NA,NA,NA,NA
sample17_SemiBin_607.fa,22.928742099202427,NA,NA,NA,NA,NA,23_0,NA,NA,1,NA,NA,NA,NA
sample17_SemiBin_955.fa,30.94156155251576,NA,NA,NA,NA,NA,24_0,NA,NA,1,NA,NA,NA,NA
sample29_SemiBin_540.fa,59.98889875254565,NA,NA,NA,NA,NA,25_0,NA,NA,1,NA,NA,NA,NA
sample17_SemiBin_328.fa,81.50873301933795,NA,NA,NA,NA,NA,26_1,NA,NA,1,NA,NA,NA,NA
sample19_SemiBin_406.fa,80.9709526875085,NA,NA,NA,NA,NA,26_2,NA,NA,1,NA,NA,NA,NA
sample16_SemiBin_428.fa,62.30196707052715,NA,NA,NA,NA,NA,26_3,NA,NA,1,NA,NA,NA,NA
sample17_SemiBin_436.fa,57.57115216128306,NA,NA,NA,NA,NA,27_0,NA,NA,1,NA,NA,NA,NA
sample17_SemiBin_714.fa,48.10829941390722,NA,NA,NA,NA,NA,28_0,NA,NA,1,NA,NA,NA,NA
sample22_SemiBin_338.fa,99.30379824860752,NA,NA,NA,NA,NA,29_1,NA,NA,27,99.62,99.06,NA,NA
sample19_SemiBin_458.fa,69.46951482306662,NA,NA,NA,NA,NA,29_2,NA,NA,1,NA,NA,NA,NA
sample30_SemiBin_234.fa,58.56261930438775,NA,NA,NA,NA,NA,29_3,NA,NA,1,NA,NA,NA,NA
cpsnj04_SemiBin_371.fa,27.51294977068977,NA,NA,NA,NA,NA,29_4,NA,NA,1,NA,NA,NA,NA
sample29_SemiBin_535.fa,54.25826186203955,NA,NA,NA,NA,NA,29_5,NA,NA,1,NA,NA,NA,NA
cpsnj16_SemiBin_274.fa,97.52909542988516,NA,NA,NA,NA,NA,29_6,NA,NA,3,99.29,99.24,NA,NA
cpsnj09_SemiBin_394.fa,74.34944671976493,NA,NA,NA,NA,NA,29_7,NA,NA,1,NA,NA,NA,NA
snj10_SemiBin_219.fa,85.88351189275505,NA,NA,NA,NA,NA,29_8,NA,NA,1,NA,NA,NA,NA
snj14_SemiBin_329.fa,81.63286565263572,NA,NA,NA,NA,NA,29_9,NA,NA,1,NA,NA,NA,NA
cpsnj19_SemiBin_363.fa,84.21873062902115,NA,NA,NA,NA,NA,29_10,NA,NA,1,NA,NA,NA,NA
snj19_SemiBin_278.fa,87.10770987234335,NA,NA,NA,NA,NA,29_11,NA,NA,1,NA,NA,NA,NA
snj20_SemiBin_274.fa,99.23807605474124,NA,NA,NA,NA,NA,29_12,NA,NA,1,NA,NA,NA,NA
cpsnj03_SemiBin_264.fa,87.3941184368222,NA,NA,NA,NA,NA,29_13,NA,NA,1,NA,NA,NA,NA
snj03_SemiBin_240.fa,97.5093417711837,NA,NA,NA,NA,NA,29_14,NA,NA,1,NA,NA,NA,NA
snj13_SemiBin_317.fa,94.10752675900676,NA,NA,NA,NA,NA,29_15,NA,NA,1,NA,NA,NA,NA
cpsnj08_SemiBin_212.fa,95.67347080437426,NA,NA,NA,NA,NA,29_16,NA,NA,1,NA,NA,NA,NA
cpsnj20_SemiBin_301.fa,85.94362206193514,NA,NA,NA,NA,NA,29_17,NA,NA,1,NA,NA,NA,NA
snj08_SemiBin_337.fa,94.14528260770209,NA,NA,NA,NA,NA,29_18,NA,NA,1,NA,NA,NA,NA
snj15_SemiBin_287.fa,87.19469908343177,NA,NA,NA,NA,NA,29_19,NA,NA,1,NA,NA,NA,NA
cpsnj14_SemiBin_338.fa,96.97742184757726,NA,NA,NA,NA,NA,29_20,NA,NA,1,NA,NA,NA,NA
snj16_SemiBin_231.fa,96.27843603472884,NA,NA,NA,NA,NA,29_21,NA,NA,1,NA,NA,NA,NA
snj09_SemiBin_497.fa,61.20945750816889,NA,NA,NA,NA,NA,29_22,NA,NA,1,NA,NA,NA,NA
cpsnj02_SemiBin_206.fa,65.04809405526586,NA,NA,NA,NA,NA,29_23,NA,NA,1,NA,NA,NA,NA
cpsnj15_SemiBin_517.fa,68.63709512351168,NA,NA,NA,NA,NA,29_24,NA,NA,1,NA,NA,NA,NA
snj10_SemiBin_450.fa,18.57016600813048,NA,NA,NA,NA,NA,30_1,NA,NA,1,NA,NA,NA,NA
snj11_SemiBin_449.fa,46.18932657541036,NA,NA,NA,NA,NA,30_2,NA,NA,1,NA,NA,NA,NA
sample24_SemiBin_256.fa,67.24077070514295,NA,NA,NA,NA,NA,31_1,NA,NA,1,NA,NA,NA,NA
sample9_SemiBin_521.fa,45.6237996195005,NA,NA,NA,NA,NA,31_2,NA,NA,1,NA,NA,NA,NA
sample28_SemiBin_429.fa,30.006867870110472,NA,NA,NA,NA,NA,32_0,NA,NA,1,NA,NA,NA,NA
sample29_SemiBin_110.fa,52.54213414218221,NA,NA,NA,NA,NA,33_0,NA,NA,1,NA,NA,NA,NA
cpsnj01_SemiBin_0.fa,100.81709242099316,NA,NA,NA,NA,NA,34_0,NA,NA,1,NA,NA,NA,NA
cpsnj20_SemiBin_13.fa,88.74223053513887,NA,NA,NA,NA,NA,35_0,NA,NA,1,NA,NA,NA,NA
