cpsnj01_SemiBin_1.fa,100.0,0.54
cpsnj01_SemiBin_1007.fa,4.91,0.01
cpsnj01_SemiBin_1014.fa,36.45,10.07
cpsnj01_SemiBin_1023.fa,6.0,0.0
cpsnj01_SemiBin_1028.fa,8.23,0.02
cpsnj01_SemiBin_1032.fa,8.78,0.02
cpsnj01_SemiBin_1034.fa,5.63,0.01
cpsnj01_SemiBin_1038.fa,5.83,0.0
cpsnj01_SemiBin_1041.fa,4.05,0.0
cpsnj01_SemiBin_1048.fa,3.98,0.01
cpsnj01_SemiBin_1064.fa,4.67,0.0
cpsnj01_SemiBin_1065.fa,3.34,0.0
cpsnj01_SemiBin_1068.fa,6.17,0.05
cpsnj01_SemiBin_1077.fa,3.44,0.01
cpsnj01_SemiBin_1090.fa,4.68,0.02
cpsnj01_SemiBin_1093.fa,6.37,0.09
cpsnj01_SemiBin_110.fa,50.92,1.11
cpsnj01_SemiBin_1109.fa,4.9,0.0
cpsnj01_SemiBin_1112.fa,5.68,0.01
cpsnj01_SemiBin_1121.fa,5.18,0.0
cpsnj01_SemiBin_1122.fa,3.12,0.01
cpsnj01_SemiBin_1124.fa,6.49,0.0
cpsnj01_SemiBin_1125.fa,7.07,0.0
cpsnj01_SemiBin_1126.fa,5.78,0.0
cpsnj01_SemiBin_113.fa,9.96,0.05
cpsnj01_SemiBin_1137.fa,5.58,0.01
cpsnj01_SemiBin_1142.fa,3.95,0.0
cpsnj01_SemiBin_1144.fa,3.39,0.0
cpsnj01_SemiBin_1145.fa,5.94,0.0
cpsnj01_SemiBin_1150.fa,3.18,0.0
cpsnj01_SemiBin_1157.fa,5.02,0.0
cpsnj01_SemiBin_1160.fa,4.71,0.02
cpsnj01_SemiBin_1168.fa,5.77,0.0
cpsnj01_SemiBin_117.fa,29.77,2.64
cpsnj01_SemiBin_1171.fa,6.35,0.0
cpsnj01_SemiBin_1174.fa,5.48,0.0
cpsnj01_SemiBin_1181.fa,3.97,0.0
cpsnj01_SemiBin_1184.fa,7.55,0.0
cpsnj01_SemiBin_119.fa,54.32,13.51
cpsnj01_SemiBin_1197.fa,7.43,0.0
cpsnj01_SemiBin_1198.fa,4.97,0.01
cpsnj01_SemiBin_120.fa,18.94,0.42
cpsnj01_SemiBin_1209.fa,7.24,0.0
cpsnj01_SemiBin_1214.fa,9.98,0.08
cpsnj01_SemiBin_1222.fa,49.08,9.92
cpsnj01_SemiBin_1228.fa,46.52,4.25
cpsnj01_SemiBin_123.fa,67.1,0.22
cpsnj01_SemiBin_1234.fa,54.97,7.6
cpsnj01_SemiBin_1237.fa,44.64,7.63
cpsnj01_SemiBin_1239.fa,34.85,6.91
cpsnj01_SemiBin_1240.fa,23.56,3.85
cpsnj01_SemiBin_1244.fa,6.08,0.28
cpsnj01_SemiBin_1250.fa,6.16,0.09
cpsnj01_SemiBin_1253.fa,6.77,0.02
cpsnj01_SemiBin_1254.fa,8.09,0.02
cpsnj01_SemiBin_1262.fa,19.16,2.1
cpsnj01_SemiBin_1277.fa,5.33,0.2
cpsnj01_SemiBin_1279.fa,68.15,20.04
cpsnj01_SemiBin_1284.fa,57.9,10.49
cpsnj01_SemiBin_1288.fa,69.09,22.4
cpsnj01_SemiBin_1295.fa,5.95,0.32
cpsnj01_SemiBin_1299.fa,71.69,22.41
cpsnj01_SemiBin_1306.fa,88.75,66.11
cpsnj01_SemiBin_1312.fa,82.92,52.84
cpsnj01_SemiBin_1313.fa,96.22,58.5
cpsnj01_SemiBin_1315.fa,87.03,37.48
cpsnj01_SemiBin_138.fa,18.88,0.06
cpsnj01_SemiBin_149.fa,5.62,0.02
cpsnj01_SemiBin_15.fa,69.36,2.45
cpsnj01_SemiBin_151.fa,11.63,0.08
cpsnj01_SemiBin_157.fa,11.62,0.15
cpsnj01_SemiBin_167.fa,6.71,0.1
cpsnj01_SemiBin_171.fa,13.41,0.16
cpsnj01_SemiBin_189.fa,77.33,10.25
cpsnj01_SemiBin_196.fa,15.83,3.23
cpsnj01_SemiBin_198.fa,42.53,4.27
cpsnj01_SemiBin_199.fa,20.43,2.53
cpsnj01_SemiBin_20.fa,63.55,1.32
cpsnj01_SemiBin_202.fa,27.23,0.92
cpsnj01_SemiBin_205.fa,38.6,0.55
